@relation v1

@attribute 'Candle body' numeric
@attribute 'Upper shadow' numeric
@attribute 'Lower shadow' numeric
@attribute 'is Bullish' numeric
@attribute RSI numeric
@attribute 'RSI SCALED' numeric
@attribute 'RSI EXTREME TOUCHED' numeric
@attribute 'RSI EXTREME SCALED' numeric
@attribute CCI numeric
@attribute 'CCI SCALED' numeric
@attribute 'CCI CHANNEL BREAK' numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute bbSizeBand numeric
@attribute bbPricePosition numeric
@attribute Prediction {up,down,no}

@data
0.00012,0,0.00001,-1,3,3,0,0,-2,-2,0,0,0.000002,0.000694,-58.088299,up
0.00012,0.00018,0.00012,0,3,3,0,0,0,0,0,0,-0,0.000694,-13.408475,down
0,0.00004,0.00003,-1,3,3,0,0,0,0,0,0,-0.000003,0.000691,-19.814147,down
0.00008,0.00009,0.00008,0,3,3,0,0,0,0,0,0,-0.000005,0.000687,4.222819,down
0.00005,0,0.00003,-1,3,3,0,0,0,0,0,0,-0.000006,0.00068,-11.330653,up
0.00005,0,0.00003,-1,3,3,0,0,-1,-1,0,0,-0.000009,0.000678,-29.218131,down
0.00004,0.00008,0.00009,0,3,3,0,0,-1,-1,0,0,-0.000011,0.000583,-24.51281,up
0.00004,0.00003,0.00007,-1,3,3,0,0,-1,-1,0,0,-0.000014,0.000509,-43.207914,up
0.00005,0.00007,0.00006,0,3,3,0,0,0,0,0,0,-0.000015,0.00051,-11.171774,up
0.00002,0.00002,0.00012,0,3,3,0,0,0,0,0,0,-0.000016,0.000504,1.985656,down
0.00012,0.00001,0.00001,-1,3,3,0,0,-1,-1,0,0,-0.000017,0.000515,-44.821111,up
0.00007,0.00009,0.00007,0,2,2,0,0,0,0,0,0,-0.000017,0.000505,-11.486275,down
0.00001,0.00004,0.00001,0,3,3,0,0,0,0,0,0,-0.000017,0.000502,-6.176957,down
0.00013,0.00014,0.00014,0,3,3,0,0,1,1,0,0,-0.000015,0.000518,46.521217,down
0.0002,0,0.00011,-1,3,3,0,0,-1,-1,0,0,-0.000014,0.000472,-31.773173,up
0.00001,0.00001,0.00009,0,3,3,0,0,-1,-1,0,0,-0.000014,0.000471,-21.005962,up
0.00003,0.00008,0.00001,-1,3,3,0,0,0,0,0,0,-0.000014,0.000477,-27.653456,up
0.00003,0,0.00002,-1,3,3,0,0,-2,-2,0,0,-0.000016,0.000405,-39.248045,up
0.00022,0.00022,0.00022,0,3,3,0,0,2,2,0,0,-0.000014,0.000354,87.182887,down
0.00001,0.00007,0.00003,0,4,4,0,0,4,4,2,1,-0.000011,0.000401,82.211482,down
0.00012,0.00001,0.00003,-1,3,3,0,0,2,2,0,0,-0.000008,0.000369,24.393469,up
0.00014,0.00014,0.00016,0,3,3,0,0,2,2,0,0,-0.000003,0.00041,76.29184,down
0.00011,0.00001,0.00006,-1,3,3,0,0,1,1,0,0,0,0.000411,25.031375,up
0.00001,0.00006,0.00001,0,3,3,0,0,1,1,0,0,0.000003,0.000414,24.398075,up
0.00004,0.00001,0.00001,-1,3,3,0,0,0,0,0,0,0.000005,0.000413,8.714638,up
0.00009,0.00013,0.00009,0,3,3,0,0,2,2,0,0,0.000007,0.000421,55.537471,down
0,0.00002,0.00005,-1,3,3,0,0,2,2,0,0,0.00001,0.000436,53.846316,up
0.00006,0.0001,0.00006,0,3,3,0,0,2,2,0,0,0.000014,0.000456,67.557832,no
0.00002,0.00001,0.00005,-1,4,4,0,0,2,2,0,0,0.000019,0.00048,56.283599,down
0.00016,0.00002,0.00002,-1,3,3,0,0,0,0,0,0,0.00002,0.00048,-6.253733,up
0.00001,0.00002,0.00004,0,3,3,0,0,0,0,0,0,0.000021,0.000451,-9.542165,down
0.00016,0.00016,0.00019,0,4,4,0,0,1,1,0,0,0.000022,0.000463,51.134293,down
0.00003,0.00006,0.00004,0,3,3,0,0,2,2,0,0,0.000024,0.000476,49.790713,down
0.00012,0.00002,0,-1,3,3,0,0,1,1,0,0,0.000025,0.000471,4.666876,down
0,0.00003,0.00005,-1,3,3,0,0,0,0,0,0,0.000025,0.000439,-2.958608,down
0.00006,0.00002,0.00006,-1,3,3,0,0,-1,-1,0,0,0.000023,0.000421,-37.806944,up
